"threads","haps","tool","memory","time"
1,1,"odgi build",1.1519888,10.784
1,1,"vg convert",0.5565416,21.92
1,2,"odgi build",1.4781156,14.549
1,2,"vg convert",0.7837816,28.712
1,4,"odgi build",1.82451,22.276
1,4,"vg convert",1.5118552,45.022
1,8,"odgi build",2.5164184,43.408
1,8,"vg convert",3.0080052,78.671
1,16,"odgi build",3.5717484,76.599
1,16,"vg convert",5.54217,133.273
1,32,"odgi build",5.903018,176.553
1,32,"vg convert",11.2897916,292.316
1,64,"odgi build",10.1923104,322.505
1,64,"vg convert",21.3004656,497.508
2,1,"odgi build",1.152266,10.563
2,1,"vg convert",0.5553272,21.178
2,2,"odgi build",1.479004,12.787
2,2,"vg convert",0.7827604,27.51
2,4,"odgi build",1.8096724,17.081
2,4,"vg convert",1.5121052,43.644
2,8,"odgi build",2.4163428,28.898
2,8,"vg convert",3.007354,75.515
2,16,"odgi build",3.4637312,47.933
2,16,"vg convert",5.5418624,126.709
2,32,"odgi build",5.5811828,102.665
2,32,"vg convert",11.289928,280.125
2,64,"odgi build",9.5205012,171.306
2,64,"vg convert",21.2994424,457.366
4,1,"odgi build",1.1522744,10.535
4,1,"vg convert",0.556408,20.691
4,2,"odgi build",1.4783128,12.628
4,2,"vg convert",0.7827668,27.898
4,4,"odgi build",1.8782656,14.805
4,4,"vg convert",1.5123912,42.356
4,8,"odgi build",2.1751112,20.997
4,8,"vg convert",3.0081288,74.802
4,16,"odgi build",3.0793692,32.692
4,16,"vg convert",5.5423232,123.413
4,32,"odgi build",4.8654192,65.302
4,32,"vg convert",11.2910732,271.105
4,64,"odgi build",8.6973664,105.514
4,64,"vg convert",21.3006224,451.535
8,1,"odgi build",1.1521744,11.525
8,1,"vg convert",0.5569268,20.332
8,2,"odgi build",1.4843116,13.159
8,2,"vg convert",0.78322,27.179
8,4,"odgi build",1.8474524,15.609
8,4,"vg convert",1.5126148,41.771
8,8,"odgi build",2.2027444,19.626
8,8,"vg convert",3.0087164,73.086
8,16,"odgi build",2.8695104,28.426
8,16,"vg convert",5.542682,131.817
8,32,"odgi build",4.3020188,46.228
8,32,"vg convert",11.290096,256.736
8,64,"odgi build",6.9127452,71.552
8,64,"vg convert",21.3000472,441.593
16,1,"odgi build",1.1524812,11.178
16,1,"vg convert",0.5561272,21.137
16,2,"odgi build",1.48495,13.268
16,2,"vg convert",0.7836324,26.742
16,4,"odgi build",1.8726028,15.555
16,4,"vg convert",1.5127216,41.899
16,8,"odgi build",2.2367648,21.156
16,8,"vg convert",3.009634,73.357
16,16,"odgi build",2.9192792,29.093
16,16,"vg convert",5.5434216,136.958
16,32,"odgi build",4.3629564,46.576
16,32,"vg convert",11.2920784,269.613
16,64,"odgi build",6.885178,70.841
16,64,"vg convert",21.3007188,442.706
