threads,haps,time_odgi_extract,time_vg_chunk,memory_odgi_extract,memory_vg_chunk
1,1,3.555,3.685,1.069204,0.425434
1,2,6.02,13.83,1.218844,0.94471
1,4,15.765,58.12,1.505734,3.05956
1,8,36.795,179.71,1.923264,8.11497
1,16,69.41,393.92,2.489708,15.255736
1,32,157.37,1039.86,4.001812,33.647316
1,64,301.685,1870.455,6.963456,60.37672
2,1,4.46,3.53,1.069218,0.42555
2,2,5.46,13.885,1.219406,0.960056
2,4,11.555,58.025,1.517592,3.057434
2,8,22.885,180.57,1.934194,8.116112
2,16,40.975,393.345,2.518644,15.255112
2,32,88.845,1037.435,4.027324,33.647932
2,64,164.255,1872.69,7.003884,60.37266
4,1,3.725,3.365,1.069248,0.425578
4,2,5.4,13.915,1.219446,0.994646
4,4,9.485,57.82,1.519802,3.062904
4,8,15.505,181.735,1.951918,8.115554
4,16,26.2,403.9,2.54286,15.254838
4,32,51.45,1054.04,4.066244,33.64724
4,64,103.845,1891.76,7.043414,60.374326
8,1,3.585,3.385,1.069296,0.425556
8,2,5.3,13.87,1.219426,0.955334
8,4,8.35,58.245,1.53584,3.061326
8,8,12.23,179.89,1.97337,8.115682
8,16,18.73,414.75,2.534444,15.255706
8,32,35.34,1044.865,4.106864,33.647586
8,64,65.64,1876.345,7.123266,60.373838
16,1,3.57,3.4,1.069378,0.425588
16,2,5.27,13.88,1.219872,0.980038
16,4,7.76,57.825,1.54319,3.067542
16,8,10.415,180.77,2.041908,8.115896
16,16,14.61,414.62,2.616444,15.255664
16,32,25.455,1039.875,4.278332,33.647316
16,64,46.075,1858.77,7.222998,60.375108
