threads,haps,time_odgi_position,time_vg_find,memory_odgi_position,memory_vg_find
1,1,2.578,0.155,1.0114552,0.206482
1,2,3.186,0.392,1.1086128,0.25556
1,4,3.523,1.233,1.2333104,0.4173672
1,8,3.972,4.285,1.4873268,0.7367924
1,16,5.073,14.321,1.813782,1.2450732
1,32,7.791,55.608,2.7319892,2.4638948
1,64,15.6,198.539,4.5145148,4.5587724
2,1,2.545,0.155,1.0114656,0.2064828
2,2,3.172,0.384,1.1085936,0.2555596
2,4,3.551,1.241,1.2333096,0.4173796
2,8,3.952,4.307,1.4873868,0.736764
2,16,5.082,14.096,1.8137532,1.245088
2,32,7.765,55.559,2.7319392,2.4638976
2,64,15.336,198.563,4.5145592,4.5587444
4,1,2.672,0.155,1.0114876,0.2064828
4,2,3.146,0.385,1.1086592,0.2555604
4,4,3.552,1.234,1.2333576,0.4173612
4,8,3.978,4.307,1.4873504,0.7367952
4,16,5.055,14.226,1.8138508,1.2450716
4,32,7.79,55.663,2.732038,2.4638876
4,64,15.413,196.595,4.514538,4.5587104
8,1,2.589,0.159,1.0115564,0.2064828
8,2,3.2,0.384,1.1086932,0.2555596
8,4,3.549,1.246,1.233378,0.4173636
8,8,3.991,4.31,1.4874028,0.736784
8,16,5.068,14.204,1.8138932,1.2450868
8,32,7.698,55.122,2.7321336,2.4639044
8,64,15.9,203.016,4.5145924,4.5587132
16,1,2.615,0.157,1.0116544,0.206482
16,2,3.159,0.383,1.1087892,0.2555604
16,4,3.553,1.232,1.2334316,0.4173492
16,8,3.95,4.258,1.4874844,0.7367464
16,16,5.095,14.299,1.8139072,1.2450636
16,32,7.663,54.781,2.73217,2.463884
16,64,15.504,202.571,4.514634,4.558742
