1,1,1,3.72,425456
1,1,2,3.65,425412
2,1,1,3.59,425620
2,1,2,3.47,425480
4,1,1,3.35,425540
4,1,2,3.38,425616
8,1,1,3.4,425636
8,1,2,3.37,425476
16,1,1,3.39,425580
16,1,2,3.41,425596
1,2,1,13.84,944696
1,2,2,13.82,944724
2,2,1,13.86,975456
2,2,2,13.91,944656
4,2,1,13.9,986580
4,2,2,13.93,1002712
8,2,1,13.92,966092
8,2,2,13.82,944576
16,2,1,13.82,981944
16,2,2,13.94,978132
1,4,1,58.07,3062224
1,4,2,58.17,3056896
2,4,1,58.27,3056760
2,4,2,57.78,3058108
4,4,1,57.8,3062800
4,4,2,57.84,3063008
8,4,1,57.83,3060140
8,4,2,58.66,3062512
16,4,1,57.91,3064636
16,4,2,57.74,3070448
1,8,1,179.68,8114788
1,8,2,179.74,8115152
2,8,1,180.6,8116276
2,8,2,180.54,8115948
4,8,1,180.01,8115792
4,8,2,183.46,8115316
8,8,1,177.87,8115716
8,8,2,181.91,8115648
16,8,1,179.85,8115852
16,8,2,181.69,8115940
1,16,1,393.23,15255540
1,16,2,394.61,15255932
2,16,1,395.93,15255188
2,16,2,390.76,15255036
4,16,1,392.79,15254708
4,16,2,415.01,15254968
8,16,1,417.3,15255708
8,16,2,412.2,15255704
16,16,1,416.52,15254848
16,16,2,412.72,15256480
1,32,1,1032.44,33647224
1,32,2,1047.28,33647408
2,32,1,1036.84,33647496
2,32,2,1038.03,33648368
4,32,1,1050.52,33647896
4,32,2,1057.56,33646584
8,32,1,1043.63,33648280
8,32,2,1046.1,33646892
16,32,1,1047.96,33646532
16,32,2,1031.79,33648100
1,64,1,1860.73,60376964
1,64,2,1880.18,60376476
2,64,1,1895.97,60372568
2,64,2,1849.41,60372752
4,64,1,1894.98,60373068
4,64,2,1888.54,60375584
8,64,1,1869.54,60374188
8,64,2,1883.15,60373488
16,64,1,1866.75,60375312
16,64,2,1850.79,60374904
