1,1,1,22.33,557628
1,1,2,21.19,557544
1,1,3,22.32,557540
1,1,4,22.23,556660
1,1,5,20.41,554912
1,1,6,22.27,554920
1,1,7,21.41,557532
1,1,8,23.75,555476
1,1,9,21.7,555648
1,1,10,21.59,557556
2,1,1,20.61,554568
2,1,2,22.02,554640
2,1,3,22.13,554660
2,1,4,21.41,554620
2,1,5,21.98,554624
2,1,6,20.86,556844
2,1,7,21.37,554700
2,1,8,20.36,555008
2,1,9,20.49,556792
2,1,10,20.55,556816
4,1,1,20.61,555332
4,1,2,21.61,557560
4,1,3,20.09,555328
4,1,4,20.19,557832
4,1,5,20.94,557436
4,1,6,20.9,555276
4,1,7,20.34,556528
4,1,8,21.1,557456
4,1,9,20.44,554728
4,1,10,20.69,556604
8,1,1,20.76,557416
8,1,2,19.41,557556
8,1,3,19.82,557568
8,1,4,21.1,557556
8,1,5,20.41,556476
8,1,6,20.23,556720
8,1,7,21,557560
8,1,8,19.79,554120
8,1,9,20.23,557492
8,1,10,20.57,556804
16,1,1,19.79,556652
16,1,2,19.97,554648
16,1,3,20.85,557036
16,1,4,21.99,556712
16,1,5,22.17,556204
16,1,6,21.61,554992
16,1,7,22.23,555848
16,1,8,22.75,557664
16,1,9,20.14,554012
16,1,10,19.87,557504
1,2,1,29.96,783808
1,2,2,29.1,783816
1,2,3,28.49,785064
1,2,4,29.71,782392
1,2,5,27.35,782528
1,2,6,28.57,784412
1,2,7,28.13,782276
1,2,8,30.02,786172
1,2,9,27.68,784956
1,2,10,28.11,782392
2,2,1,27.12,782224
2,2,2,27.97,782924
2,2,3,27.13,782216
2,2,4,28.8,782144
2,2,5,27.31,782648
2,2,6,27.05,784880
2,2,7,27.31,782192
2,2,8,28.05,782476
2,2,9,26.33,783656
2,2,10,28.03,782244
4,2,1,27.55,782456
4,2,2,28.92,783076
4,2,3,28.52,782424
4,2,4,26.63,783248
4,2,5,28.04,782572
4,2,6,27.36,782512
4,2,7,28.05,782496
4,2,8,27.08,782580
4,2,9,28.83,783056
4,2,10,28,783248
8,2,1,26.96,783216
8,2,2,26.52,782596
8,2,3,27.25,782596
8,2,4,26.73,784960
8,2,5,28.21,783516
8,2,6,27.02,782460
8,2,7,27.71,784516
8,2,8,26.48,782352
8,2,9,27.9,782444
8,2,10,27.01,783544
16,2,1,26.36,783612
16,2,2,25.5,782900
16,2,3,27.51,783764
16,2,4,27.14,783004
16,2,5,28.09,785240
16,2,6,26.38,782752
16,2,7,26.21,783520
16,2,8,26.45,782848
16,2,9,26.37,783648
16,2,10,27.41,785036
1,4,1,44.39,1512040
1,4,2,45.15,1511796
1,4,3,45.62,1511728
1,4,4,44.85,1511880
1,4,5,44.64,1512096
1,4,6,46.07,1511840
1,4,7,44.7,1511920
1,4,8,44.2,1511528
1,4,9,45.43,1511780
1,4,10,45.17,1511944
2,4,1,45.19,1512160
2,4,2,44.59,1512616
2,4,3,43.53,1512132
2,4,4,42.79,1511936
2,4,5,44.05,1511688
2,4,6,44.76,1512440
2,4,7,43.3,1512032
2,4,8,42.61,1512276
2,4,9,43.26,1512008
2,4,10,42.36,1511764
4,4,1,42.2,1512952
4,4,2,42.64,1512460
4,4,3,43.24,1512052
4,4,4,41.23,1512208
4,4,5,41.79,1512012
4,4,6,42.08,1512288
4,4,7,42.1,1512704
4,4,8,41.5,1512224
4,4,9,45.08,1512240
4,4,10,41.7,1512772
8,4,1,41.61,1512492
8,4,2,42.37,1512900
8,4,3,40.98,1513612
8,4,4,43.1,1512560
8,4,5,41.81,1512208
8,4,6,41.99,1512716
8,4,7,41.87,1512280
8,4,8,41.21,1512416
8,4,9,41.35,1512552
8,4,10,41.42,1512412
16,4,1,42.56,1512820
16,4,2,41.39,1513120
16,4,3,41.92,1513104
16,4,4,42.42,1512568
16,4,5,43.3,1512912
16,4,6,42.04,1512720
16,4,7,41.14,1512268
16,4,8,40.9,1512548
16,4,9,41.97,1512856
16,4,10,41.35,1512300
1,8,1,78.83,3007436
1,8,2,78.34,3008040
1,8,3,79.27,3007652
1,8,4,79.21,3008008
1,8,5,76.07,3007856
1,8,6,80.1,3007884
1,8,7,80.02,3008032
1,8,8,77.53,3008672
1,8,9,79.29,3008692
1,8,10,78.05,3007780
2,8,1,74.72,3007560
2,8,2,74.95,3006960
2,8,3,76.74,3007460
2,8,4,73.94,3007576
2,8,5,75.27,3007300
2,8,6,74.83,3007516
2,8,7,76.9,3007284
2,8,8,74.72,3006972
2,8,9,76.97,3007004
2,8,10,76.11,3007908
4,8,1,73.1,3007872
4,8,2,74.08,3007828
4,8,3,71.86,3007360
4,8,4,74.03,3007372
4,8,5,74.13,3009440
4,8,6,77.56,3008404
4,8,7,76.78,3008384
4,8,8,75.96,3007704
4,8,9,75.32,3008684
4,8,10,75.2,3008240
8,8,1,73.27,3008428
8,8,2,72.47,3008512
8,8,3,71.58,3008088
8,8,4,72.78,3008612
8,8,5,72.56,3009544
8,8,6,75.51,3008400
8,8,7,71.5,3009048
8,8,8,72.05,3008864
8,8,9,74.65,3008352
8,8,10,74.49,3009316
16,8,1,71.61,3009656
16,8,2,71.99,3008620
16,8,3,73.76,3008900
16,8,4,73.49,3010644
16,8,5,73.44,3009704
16,8,6,73.45,3010216
16,8,7,74.39,3009396
16,8,8,74.19,3009732
16,8,9,72.32,3009436
16,8,10,74.93,3010036
1,16,1,132.33,5542564
1,16,2,133.89,5541300
1,16,3,133.8,5543184
1,16,4,136.42,5542204
1,16,5,132.5,5542044
1,16,6,131.64,5542052
1,16,7,135.15,5541440
1,16,8,135,5542484
1,16,9,131.05,5542280
1,16,10,130.95,5542148
2,16,1,129.45,5540420
2,16,2,125.67,5543276
2,16,3,123.09,5540736
2,16,4,127.29,5542492
2,16,5,127.53,5541540
2,16,6,125.58,5542096
2,16,7,126.95,5541712
2,16,8,126.55,5543156
2,16,9,129.68,5541596
2,16,10,125.3,5541600
4,16,1,125.58,5543736
4,16,2,122.13,5543052
4,16,3,124.76,5541516
4,16,4,126.34,5542148
4,16,5,121.26,5542552
4,16,6,122.91,5541696
4,16,7,122.02,5542116
4,16,8,123.4,5542540
4,16,9,122.03,5540988
4,16,10,123.7,5542888
8,16,1,123.39,5542436
8,16,2,122.26,5542828
8,16,3,123.89,5542020
8,16,4,122.51,5543276
8,16,5,136.24,5542496
8,16,6,136.5,5542876
8,16,7,135.92,5542788
8,16,8,139.17,5542808
8,16,9,138.84,5543564
8,16,10,139.45,5541728
16,16,1,139.32,5543372
16,16,2,136.82,5545604
16,16,3,133.9,5542752
16,16,4,137.33,5543400
16,16,5,137.41,5543504
16,16,6,136.54,5543232
16,16,7,138.16,5542112
16,16,8,138.62,5544468
16,16,9,135.32,5543996
16,16,10,136.16,5541776
1,32,1,293.69,11288484
1,32,2,293.7,11289896
1,32,3,302.42,11289856
1,32,4,291.49,11292596
1,32,5,288.4,11289360
1,32,6,286.23,11290036
1,32,7,290.71,11288900
1,32,8,292.25,11288760
1,32,9,291.89,11289488
1,32,10,292.38,11290540
2,32,1,281.95,11288220
2,32,2,274.99,11288340
2,32,3,283.85,11290360
2,32,4,277.31,11290980
2,32,5,284.06,11289212
2,32,6,284.93,11289020
2,32,7,282.6,11290344
2,32,8,279.94,11291408
2,32,9,275.33,11290080
2,32,10,276.29,11291316
4,32,1,274.49,11291316
4,32,2,269.87,11290588
4,32,3,269.09,11291324
4,32,4,268.86,11290696
4,32,5,274.95,11290792
4,32,6,275.94,11292144
4,32,7,269.34,11291836
4,32,8,274.75,11291512
4,32,9,273.95,11290612
4,32,10,259.81,11289912
8,32,1,242.42,11289876
8,32,2,238,11290584
8,32,3,237.52,11290852
8,32,4,251.76,11290664
8,32,5,265.31,11289544
8,32,6,268.82,11290852
8,32,7,264.06,11288748
8,32,8,264.56,11289136
8,32,9,268.91,11289964
8,32,10,266,11290740
16,32,1,266.69,11290416
16,32,2,276.22,11292868
16,32,3,266.42,11293264
16,32,4,265.14,11293212
16,32,5,266.82,11291856
16,32,6,269.26,11289812
16,32,7,268.71,11292688
16,32,8,274.64,11292408
16,32,9,272.81,11292136
16,32,10,269.42,11292124
1,64,1,536.72,21302408
1,64,2,532.05,21300972
1,64,3,530.03,21300264
1,64,4,536.03,21299572
1,64,5,499.87,21299640
1,64,6,477.92,21300860
1,64,7,459.09,21298184
1,64,8,456.7,21301224
1,64,9,472.11,21302124
1,64,10,474.56,21299408
2,64,1,454.41,21299416
2,64,2,446.04,21298224
2,64,3,455.64,21300836
2,64,4,451.1,21299496
2,64,5,448.11,21299664
2,64,6,458.62,21299664
2,64,7,462.29,21300012
2,64,8,464.12,21298700
2,64,9,449.37,21298124
2,64,10,483.96,21300288
4,64,1,468.98,21301412
4,64,2,441.48,21299064
4,64,3,449.07,21299156
4,64,4,448.5,21299588
4,64,5,468.63,21300288
4,64,6,452.7,21302696
4,64,7,450.47,21301676
4,64,8,439.86,21299676
4,64,9,452.08,21300532
4,64,10,443.58,21302136
8,64,1,436.38,21299276
8,64,2,451.02,21301300
8,64,3,441.85,21300188
8,64,4,435.39,21299604
8,64,5,438.15,21299596
8,64,6,441.86,21300788
8,64,7,438.92,21300444
8,64,8,455.96,21299908
8,64,9,437.85,21299268
8,64,10,438.55,21300100
16,64,1,437.96,21300320
16,64,2,442.25,21300848
16,64,3,441.97,21303556
16,64,4,447.96,21300808
16,64,5,444.22,21301148
16,64,6,443.67,21301800
16,64,7,443.72,21301692
16,64,8,443.48,21299464
16,64,9,443.15,21294772
16,64,10,438.68,21302780
